Date,HomeTeam,AwayTeam,HomeGoals,AwayGoals,Result,HomeShots,AwayShots,HomeShotsTarget,AwayShotsTarget,OddsHome,OddsDraw,OddsAway,Season,League,LeagueCode
05/10/2025,Udinese,Cagliari,1,1,D,23,8,4,2,2.15,3.2,3.6,2025-26,Serie A,I1
05/10/2025,Bologna,Pisa,4,0,H,24,2,7,0,1.6,3.9,5.75,2025-26,Serie A,I1
05/10/2025,Fiorentina,Roma,1,2,A,11,8,3,3,3.0,3.3,2.4,2025-26,Serie A,I1
05/10/2025,Napoli,Genoa,2,1,H,12,6,5,1,1.48,4.0,8.0,2025-26,Serie A,I1
05/10/2025,Juventus,Milan,0,0,D,12,13,3,4,2.7,3.2,2.7,2025-26,Serie A,I1
18/10/2025,Lecce,Sassuolo,0,0,D,11,9,2,2,2.9,3.2,2.5,2025-26,Serie A,I1
18/10/2025,Pisa,Verona,0,0,D,7,15,0,3,2.55,3.1,2.9,2025-26,Serie A,I1
18/10/2025,Torino,Napoli,1,0,H,12,22,2,5,5.25,3.3,1.8,2025-26,Serie A,I1
18/10/2025,Roma,Inter,0,1,A,15,12,5,3,3.3,3.25,2.25,2025-26,Serie A,I1
19/10/2025,Como,Juventus,2,0,H,12,15,6,3,2.88,3.25,2.5,2025-26,Serie A,I1
19/10/2025,Cagliari,Bologna,0,2,A,4,10,3,7,3.6,3.3,2.1,2025-26,Serie A,I1
19/10/2025,Genoa,Parma,0,0,D,23,1,7,0,2.1,3.0,4.0,2025-26,Serie A,I1
19/10/2025,Atalanta,Lazio,0,0,D,16,4,6,1,1.73,4.0,4.5,2025-26,Serie A,I1
19/10/2025,Milan,Fiorentina,2,1,H,14,5,4,1,1.5,4.33,6.5,2025-26,Serie A,I1
20/10/2025,Cremonese,Udinese,1,1,D,11,8,4,1,3.0,3.25,2.4,2025-26,Serie A,I1
24/10/2025,Milan,Pisa,2,2,D,20,8,7,2,1.3,5.5,10.0,2025-26,Serie A,I1
25/10/2025,Parma,Como,0,0,D,10,6,3,2,3.9,3.5,1.95,2025-26,Serie A,I1
25/10/2025,Udinese,Lecce,3,2,H,8,13,4,3,1.8,3.4,4.75,2025-26,Serie A,I1
25/10/2025,Napoli,Inter,3,1,H,7,15,3,3,3.0,3.1,2.4,2025-26,Serie A,I1
