Date,HomeTeam,AwayTeam,HomeGoals,AwayGoals,Result,HomeShots,AwayShots,HomeShotsTarget,AwayShotsTarget,OddsHome,OddsDraw,OddsAway,Season,League,LeagueCode
28/09/2025,Rennes,Lens,0,0,D,14,13,2,2,2.5,3.4,2.75,2025-26,Ligue 1,F1
03/10/2025,Paris FC,Lorient,2,0,H,10,8,2,3,1.73,3.9,4.5,2025-26,Ligue 1,F1
04/10/2025,Metz,Marseille,0,3,A,4,21,1,9,6.25,5.0,1.45,2025-26,Ligue 1,F1
04/10/2025,Brest,Nantes,0,0,D,17,6,5,0,1.85,3.75,4.0,2025-26,Ligue 1,F1
04/10/2025,Auxerre,Lens,1,2,A,18,7,2,4,3.6,3.8,1.95,2025-26,Ligue 1,F1
05/10/2025,Lyon,Toulouse,1,2,A,13,14,3,4,1.9,3.7,4.0,2025-26,Ligue 1,F1
05/10/2025,Le Havre,Rennes,2,2,D,10,9,2,3,3.1,3.3,2.35,2025-26,Ligue 1,F1
05/10/2025,Monaco,Nice,2,2,D,20,9,6,2,1.9,3.7,3.9,2025-26,Ligue 1,F1
05/10/2025,Strasbourg,Angers,5,0,H,18,5,12,1,1.67,3.9,5.25,2025-26,Ligue 1,F1
05/10/2025,Lille,Paris SG,1,1,D,9,17,3,5,4.5,3.9,1.75,2025-26,Ligue 1,F1
17/10/2025,Paris SG,Strasbourg,3,3,D,21,12,9,7,1.3,6.0,8.5,2025-26,Ligue 1,F1
18/10/2025,Nice,Lyon,3,2,H,5,29,4,7,2.45,3.4,2.8,2025-26,Ligue 1,F1
18/10/2025,Angers,Monaco,1,1,D,16,11,3,4,5.5,4.0,1.62,2025-26,Ligue 1,F1
18/10/2025,Marseille,Le Havre,6,2,H,18,8,11,3,1.33,5.0,9.0,2025-26,Ligue 1,F1
19/10/2025,Lens,Paris FC,2,1,H,11,9,3,3,1.85,3.75,4.0,2025-26,Ligue 1,F1
19/10/2025,Lorient,Brest,3,3,D,12,8,7,4,2.38,3.25,3.0,2025-26,Ligue 1,F1
19/10/2025,Rennes,Auxerre,2,2,D,19,7,7,4,1.75,3.7,4.75,2025-26,Ligue 1,F1
19/10/2025,Toulouse,Metz,4,0,H,16,2,7,2,1.6,3.8,6.0,2025-26,Ligue 1,F1
